filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs=1_randread.json,numjobs,randread,4k,1,78.85,0.0,308.03,0.0,800.44,937.98,0.0,0.0,22.39,76.88,99.27
test_numjobs=1_randwrite.json,numjobs,randwrite,4k,1,0.0,81.77,0.0,319.42,0.0,0.0,771.87,864.26,26.4,72.86,99.26
test_numjobs=2_randread.json,numjobs,randread,4k,2,150.51,0.0,587.94,0.0,838.69,905.22,0.0,0.0,23.17,76.12,99.3
test_numjobs=2_randwrite.json,numjobs,randwrite,4k,2,0.0,153.7,0.0,600.4,0.0,0.0,821.42,847.87,26.04,73.14,99.18
test_numjobs=3_randread.json,numjobs,randread,4k,3,216.46,0.0,845.54,0.0,874.76,929.79,0.0,0.0,24.58,75.03,99.61
test_numjobs=3_randwrite.json,numjobs,randwrite,4k,3,0.0,226.33,0.0,884.12,0.0,0.0,836.75,880.64,27.04,72.54,99.58
test_numjobs=4_randread.json,numjobs,randread,4k,4,245.53,0.0,959.1,0.0,1028.28,3686.4,0.0,0.0,18.56,64.04,82.6
test_numjobs=4_randwrite.json,numjobs,randwrite,4k,4,0.0,254.54,0.0,994.31,0.0,0.0,991.89,3948.54,20.54,62.06,82.6
test_numjobs=5_randread.json,numjobs,randread,4k,5,245.55,0.0,959.2,0.0,1285.39,11075.58,0.0,0.0,16.41,52.09,68.5
test_numjobs=5_randwrite.json,numjobs,randwrite,4k,5,0.0,272.44,0.0,1064.23,0.0,0.0,1158.48,11075.58,17.86,52.23,70.08
test_numjobs=6_randread.json,numjobs,randread,4k,6,247.23,0.0,965.74,0.0,1531.97,16908.29,0.0,0.0,13.05,43.61,56.66
test_numjobs=6_randwrite.json,numjobs,randwrite,4k,6,0.0,261.88,0.0,1022.97,0.0,0.0,1446.07,16908.29,14.93,42.16,57.09
test_numjobs=7_randread.json,numjobs,randread,4k,7,249.36,0.0,974.07,0.0,1771.87,16908.29,0.0,0.0,11.77,36.3,48.06
test_numjobs=7_randwrite.json,numjobs,randwrite,4k,7,0.0,264.59,0.0,1033.56,0.0,0.0,1669.74,16908.29,12.3,36.0,48.3
test_numjobs=8_randread.json,numjobs,randread,4k,8,258.07,0.0,1008.09,0.0,1956.51,20840.45,0.0,0.0,9.73,33.49,43.21
