filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu=2_randread.json,nbcpu,randread,4k,2,524.03,0.0,2047.0,0.0,120.49,125.44,0.0,0.0,25.0,74.91,99.92
test_nbcpu=2_randwrite.json,nbcpu,randwrite,4k,2,0.0,499.77,0.0,1952.22,0.0,0.0,126.33,216.06,25.08,74.84,99.93
test_nbcpu=3_randread.json,nbcpu,randread,4k,3,586.35,0.0,2290.45,0.0,215.18,268.29,0.0,0.0,16.04,54.13,70.16
test_nbcpu=3_randwrite.json,nbcpu,randwrite,4k,3,0.0,583.94,0.0,2281.02,0.0,0.0,216.07,272.38,16.53,55.67,72.2
test_nbcpu=4_randread.json,nbcpu,randread,4k,4,591.95,0.0,2312.31,0.0,319.69,569.34,0.0,0.0,14.99,51.7,66.69
test_nbcpu=4_randwrite.json,nbcpu,randwrite,4k,4,0.0,585.17,0.0,2285.82,0.0,0.0,323.43,432.13,15.47,57.41,72.88
test_nbcpu=5_randread.json,nbcpu,randread,4k,5,576.53,0.0,2252.06,0.0,437.6,684.03,0.0,0.0,13.77,53.36,67.13
test_nbcpu=5_randwrite.json,nbcpu,randwrite,4k,5,0.0,575.67,0.0,2248.69,0.0,0.0,438.28,872.45,16.04,51.16,67.19
test_nbcpu=6_randread.json,nbcpu,randread,4k,6,570.17,0.0,2227.24,0.0,553.15,724.99,0.0,0.0,16.23,46.77,63.0
test_nbcpu=6_randwrite.json,nbcpu,randwrite,4k,6,0.0,569.35,0.0,2224.01,0.0,0.0,553.91,774.14,15.61,47.55,63.17
test_nbcpu=7_randread.json,nbcpu,randread,4k,7,564.12,0.0,2203.58,0.0,670.85,897.02,0.0,0.0,16.3,46.44,62.74
test_nbcpu=7_randwrite.json,nbcpu,randwrite,4k,7,0.0,570.08,0.0,2226.86,0.0,0.0,663.85,864.26,16.18,46.37,62.55
test_nbcpu=8_randread.json,nbcpu,randread,4k,8,564.44,0.0,2204.84,0.0,782.22,995.33,0.0,0.0,16.34,45.45,61.8
test_nbcpu=8_randwrite.json,nbcpu,randwrite,4k,8,0.0,559.77,0.0,2186.6,0.0,0.0,788.42,1019.9,11.45,51.69,63.14
test_nbcpu=9_randread.json,nbcpu,randread,4k,9,559.57,0.0,2185.82,0.0,901.65,1171.46,0.0,0.0,15.08,42.49,57.57
test_nbcpu=9_randwrite.json,nbcpu,randwrite,4k,9,0.0,557.79,0.0,2178.88,0.0,0.0,904.53,1187.84,15.58,43.91,59.49
test_nbcpu=10_randread.json,nbcpu,randread,4k,10,557.55,0.0,2177.94,0.0,1017.85,1384.45,0.0,0.0,13.34,39.83,53.16
test_nbcpu=10_randwrite.json,nbcpu,randwrite,4k,10,0.0,553.37,0.0,2161.58,0.0,0.0,1025.37,1630.21,13.9,41.33,55.23
test_nbcpu=11_randread.json,nbcpu,randread,4k,11,1039.96,0.0,4062.36,0.0,606.35,1417.22,0.0,0.0,14.33,43.74,58.07
